dst_host_count,dst_host_serror_rate,dst_host_srv_serror_rate,dst_host_same_src_port_rate,srv_count,dst_host_diff_srv_rate,logged_in,dst_host_srv_count,dst_bytes,src_bytes,labels
1000,0.05,0.02,0.95,1,0.01,0,1000,0,5000000,1
5,0.2,0.1,0.4,3,0.6,0,2,1500,300,2
5,0.2,0.1,0.4,3,0.6,0,2,1500,200,2
5,0.0,0.0,20.0,3,60.0,1,4,1500,2000,0
5,0.2,0.1,0.4,3,0.6,0,2,1500,200,2
1000,0.05,0.03,0.95,1,0.01,0,1000,0,5000000,1
15,0.0,0.0,0.2,10,0.6,1,5,2048,1024,0
1000,0.05,0.02,0.95,1,0.01,0,1000,0,5000000,1
5,0.0,0.0,20.0,3,60.0,1,2,1500,2000,0
5,0.2,0.1,0.4,3,0.6,0,2,1500,300,3
15,0.05,0.03,0.2,5,0.67,0,10,200,1500,4
5,0.2,0.1,0.4,3,0.6,0,2,1500,300,2
1000,0.05,0.02,0.95,1,0.01,0,1000,0,5000000,1
1000,0.05,0.03,0.95,1,0.01,0,1000,0,5000000,1
5,0.2,0.1,0.4,3,0.6,0,2,1500,300,2
5,0.2,0.1,0.4,3,0.6,0,2,1500,300,2
5,0.2,0.1,0.4,3,0.6,0,2,1500,200,3
5,0.0,0.0,0.2,3,0.4,1,4,1500,2000,0
5,0.0,0.0,20.0,3,40.0,1,5,1500,2000,0
15,0.0,0.0,0.2,10,0.6,1,5,2048,1024,0
5,0.2,0.1,0.4,3,0.6,0,2,1500,300,3
5,0.2,0.1,0.4,3,0.6,0,2,1500,300,2
1000,0.05,0.04,0.95,1,0.01,0,1000,0,5000000,1
1000,0.05,0.03,0.9,1,0.01,0,1000,0,5000000,1
5,0.2,0.1,0.4,3,0.6,0,2,1500,300,3
15,0.05,0.02,0.67,10,0.33,0,5,200,1500,4
5,0.2,0.1,0.6,3,0.4,0,2,1500,250,3
5,0.1,0.2,0.4,3,0.6,0,2,1500,200,2
15,0.05,0.03,0.2,10,0.6,0,8,200,1500,4
5,0.2,0.1,0.4,3,0.6,0,2,1500,300,4
15,0.05,0.03,0.67,5,0.4,0,10,200,1500,4
5,0.2,0.1,0.4,3,0.6,0,2,1500,300,2
5,0.2,0.1,0.4,3,0.6,0,2,1500,200,2
15,0.05,0.03,0.4,10,0.6,0,5,200,1500,4
5,0.2,0.1,0.4,3,0.6,0,2,1500,200,2
1000,0.05,0.02,0.95,1,0.01,0,1000,0,5000000,1
5,0.1,0.2,0.4,3,0.6,1,2,1500,300,3
10,0.1,0.2,0.5,5,0.4,0,3,150,300,4
5,0.2,0.1,0.4,3,0.6,0,2,1500,300,3
5,0.2,0.1,0.4,3,0.6,0,2,1500,300,3
5,0.2,0.1,0.4,3,0.6,0,2,1500,200,3
5,0.0,0.0,20.0,3,60.0,1,4,1500,2000,0
5,0.2,0.1,0.4,3,0.6,0,2,1500,300,2
5,0.2,0.1,0.4,3,0.6,0,2,1500,300,2
5,0.2,0.1,0.4,3,0.6,0,2,1500,300,2
15,0.05,0.03,0.2,5,0.6,0,10,200,1500,4
5,0.2,0.1,0.4,3,0.6,0,2,1500,300,3
10,0.1,0.05,0.3,5,0.6,0,8,1500,200,4
150,0.05,0.07,0.9,1,0.02,0,150,0,5000000,1
1000,0.05,0.02,0.95,1,0.01,0,1000,0,5000000,1
1000,0.05,0.03,0.95,1,0.01,0,1000,0,5000000,1
15,0.0,0.0,0.2,5,0.33,1,10,2048,1024,0
10,0.1,0.05,0.2,5,0.6,0,8,1500,300,4
10,0.1,0.05,0.3,5,0.6,0,8,150,2000,4
5,0.2,0.1,0.4,3,0.6,0,2,1500,200,2
1000,0.05,0.03,0.95,1,0.01,0,1000,0,5000000,1
5,0.2,0.1,0.4,3,0.6,0,2,1500,200,2
5,0.2,0.1,0.4,3,0.6,0,2,1500,300,2
5,0.2,0.1,0.6,3,0.4,0,2,150,300,4
5,0.0,0.0,0.2,3,0.6,1,4,1500,2000,0
5,0.0,0.0,20.0,3,60.0,0,2,150,300,4
15,0.0,0.0,0.2,10,0.5,1,5,2048,1024,0
15,0.1,0.2,0.4,5,0.6,0,10,250,1200,4
5,0.2,0.1,0.4,3,0.6,0,2,1500,300,3
5,0.2,0.1,0.4,3,0.6,0,2,1500,300,2
1000,0.05,0.02,0.95,1,0.01,0,1000,0,5000000,1
15,0.05,0.03,0.2,10,0.6,0,5,200,1500,4
1000,0.05,0.02,0.95,1,0.01,0,1000,0,5000000,1
10,0.0,0.0,0.3,5,0.4,1,8,1500,2000,0
5,0.2,0.1,0.4,3,0.6,0,2,1500,200,2
1000,0.05,0.03,0.95,1,0.01,0,1000,0,5000000,1
10,0.0,0.0,0.2,5,0.4,1,8,1500,2000,0
1000,0.05,0.02,0.95,1,0.01,0,1000,0,5000000,1
1000,0.05,0.03,0.95,1,0.01,0,1000,0,5000000,1
15,0.02,0.01,0.33,5,0.67,0,10,200,1500,4
5,0.2,0.1,0.4,3,0.6,0,2,1500,500,3
1000,0.05,0.02,0.95,1,0.01,0,1000,0,5000000,1
10,0.1,0.05,0.3,5,0.6,0,8,1500,200,4
5,0.2,0.1,0.4,3,0.6,0,2,1500,200,2
